semestre,matriculados,registros,presentes,publicados,puntaje_global,puntaje_lectura,puntaje_matematicas,puntaje_sociales,puntaje_naturales,puntaje_ingles,comuna,prestacion_servicio,ponderado_global,ponderado_lectura,ponderado_matematicas,ponderado_sociales,ponderado_naturales,ponderado_ingles,punt_global_med,punt_lectura_med,punt_matematicas_med,punt_sociales_med,punt_naturales_med,punt_ingles_med,punt_global_sector,punt_lectura_sector,punt_matematicas_sector,punt_sociales_sector,punt_naturales_sector,punt_ingles_sector,punt_global_comu,punt_lectura_comu,punt_matematicas_comu,punt_sociales_comu,punt_naturales_comu,punt_ingles_comu
20142,56.0,48,48,48,240.0,51.0,48.0,47.0,46.0,48.0,manrique,oficial,11520.0,2448.0,2304.0,2256.0,2208.0,2304.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,246.3892508,50.76628664,48.73697068,49.65798046,48.27850163,48.18241042
20142,40.0,69,69,69,251.0,52.0,50.0,51.0,48.0,49.0,manrique,oficial,17319.0,3588.0,3450.0,3519.0,3312.0,3381.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,246.3892508,50.76628664,48.73697068,49.65798046,48.27850163,48.18241042
20142,169.0,163,161,160,255.0,52.0,51.0,51.0,50.0,50.0,manrique,oficial,40800.0,8320.0,8160.0,8160.0,8000.0,8000.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,246.3892508,50.76628664,48.73697068,49.65798046,48.27850163,48.18241042
20142,67.0,65,63,63,233.0,48.0,46.0,48.0,44.0,47.0,manrique,oficial,14679.0,3024.0,2898.0,3024.0,2772.0,2961.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,246.3892508,50.76628664,48.73697068,49.65798046,48.27850163,48.18241042
20142,70.0,65,63,63,248.0,52.0,48.0,49.0,50.0,48.0,manrique,oficial,15624.0,3276.0,3024.0,3087.0,3150.0,3024.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,246.3892508,50.76628664,48.73697068,49.65798046,48.27850163,48.18241042
20142,26.0,19,18,18,262.0,52.0,51.0,54.0,53.0,52.0,manrique,oficial,4716.0,936.0,918.0,972.0,954.0,936.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,246.3892508,50.76628664,48.73697068,49.65798046,48.27850163,48.18241042
20142,39.0,46,45,45,233.0,48.0,47.0,45.0,46.0,48.0,manrique,oficial,10485.0,2160.0,2115.0,2025.0,2070.0,2160.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,246.3892508,50.76628664,48.73697068,49.65798046,48.27850163,48.18241042
20142,51.0,50,49,48,243.0,50.0,48.0,50.0,47.0,47.0,manrique,oficial,11664.0,2400.0,2304.0,2400.0,2256.0,2256.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,246.3892508,50.76628664,48.73697068,49.65798046,48.27850163,48.18241042
20142,57.0,56,56,56,232.0,47.0,45.0,50.0,44.0,45.0,manrique,contratacion,12992.0,2632.0,2520.0,2800.0,2464.0,2520.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,245.5268318,50.3121775,49.02167183,49.10732714,48.25335397,48.32610939,246.3892508,50.76628664,48.73697068,49.65798046,48.27850163,48.18241042
20142,122.0,122,120,119,257.0,53.0,51.0,51.0,51.0,51.0,aranjuez,oficial,30583.0,6307.0,6069.0,6069.0,6069.0,6069.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,254.669746,52.61431871,50.7182448,50.69591994,50.07698229,49.86605081
